date,JAN,Decile 1 Portfolio Excess Return,Decile 2 Portfolio Excess Return,Decile 3 Portfolio Excess Return,Decile 4 Portfolio Excess Return,Decile 5 Portfolio Excess Return,Decile 6 Portfolio Excess Return,Decile 7 Portfolio Excess Return,Decile 8 Portfolio Excess Return,Decile 9 Portfolio Excess Return,Decile 10 Portfolio Excess Return,NoDur Excess return,Durbl Excess return,Manuf Excess return,Enrgy Excess return,Chems Excess return,BusEq Excess return,Telcm Excess return,Utils Excess return,Shops Excess return,Hlth  Excess return,Money Excess return,Other Excess return,LT Gov Bonds excess return,LT Corp Bonds excess return,6month excess return,XEW,HB3,JUNK,DIV,TB1,XVW,PREM,delta slope,UI,CGNON,REALTB
11/1993,0,-0.04761363,-0.01571163,-0.04525163,-0.03701663,-0.03764063,-0.03210263,-0.02789863,-0.03047763,-0.01950063,-0.01126763,0.00436537,0.00606537,0.00756537,-0.06123463,0.01376537,-0.00163463,-0.06273463,-0.05743463,0.00436537,0.00876537,-0.04083463,-0.00603463,-0.02821023,-0.02113463,0.00104537,0.033569462,0.000749,0.000633333,0.002215903,0.00233463,-0.01638063,0.0306818,0.000075,0.008405336,0.002,0.001791
12/1993,0,0.032892462,0.050048462,0.028715462,0.035470462,0.032729462,0.037323462,0.037375462,0.034976462,0.031780462,0.005513462,0.012129462,0.042629462,0.039629462,0.002829462,0.023729462,0.027729462,-0.006870538,0.013629462,-0.023370538,0.022429462,0.020029462,0.031329462,-0.000500338,0.004229462,0.000810462,0.038731811,0.000364,0.000608333,0.002187027,0.002470538,0.015224462,0.0104718,5.00E-05,0.007668653,0.004,0.002263
01/1994,1,0.068312811,0.053704811,0.035150811,0.033400811,0.023614811,0.029556811,0.038111811,0.025424811,0.021207811,0.031105811,-0.006743189,0.067256811,0.038356811,0.046256811,0.063556811,0.045056811,0.017756811,-0.014543189,0.003956811,0.016856811,0.039456811,0.046956811,0.023388511,0.017856811,-0.001396189,-0.017894356,-0.000238,0.000566667,0.002199468,0.002343189,0.029586811,-0.0040219,-4.17E-05,-0.005328874,0.007,-0.00024
02/1994,0,-0.003880356,-0.017308356,-0.024004356,-0.013396356,-0.016161356,-0.015620356,-0.012020356,-0.017743356,-0.021781356,-0.034192356,-0.015236356,-0.046036356,-0.007836356,-0.032136356,-0.010036356,0.014563644,-0.057736356,-0.051936356,0.017363644,-0.057936356,-0.043036356,-0.037736356,-0.047394356,-0.031036356,-5.44E-05,-0.053414536,0.000471,0.000541667,0.002242297,0.002436356,-0.029103356,0.0423156,0.000216667,0.002538844,0.005,-0.0013
03/1994,0,-0.042288536,-0.064719536,-0.059065536,-0.063852536,-0.054269536,-0.047859536,-0.061112536,-0.047136536,-0.039768536,-0.044536536,-0.043343536,-0.067043536,-0.046943536,-0.039143536,-0.046243536,-0.041743536,-0.040243536,-0.042143536,-0.048943536,-0.070043536,-0.036543536,-0.066043536,-0.042341036,-0.041143536,-0.001307536,0.005335106,-0.000238,0.000533333,0.002327904,0.002843536,-0.045394536,0.001745,0.000258333,0.012406125,0.002,-0.000939
04/1994,0,-0.014161894,0.002643106,0.003938106,0.011453106,-0.000264894,0.007584106,0.006027106,0.005227106,0.010121106,0.013365106,0.009170106,-0.007529894,-0.016629894,0.038270106,0.031070106,-0.018729894,0.011170106,0.018070106,-0.000529894,0.020970106,0.021370106,-0.017829894,-0.018066994,-0.012729894,-0.000175894,-0.001298791,0.000266,0.000525,0.002311433,0.003029894,0.011438106,0.0081827,-0.000208333,0.00340166,-0.001,0.001352
05/1994,0,-0.000552791,-0.011392791,0.000213209,0.001333209,0.001035209,-0.012475791,-0.000991791,-0.011256791,0.000250209,0.013493209,-0.016498791,-0.030898791,0.017001209,0.005701209,0.019201209,0.017801209,0.013401209,-0.056698791,-0.022298791,0.040501209,0.039901209,-0.003998791,-0.011435091,-0.009398791,0.001288209,-0.026803741,0.00088,0.000566667,0.002293897,0.003198791,0.007865209,0.0087561,-6.67E-05,-0.005651013,0.006,0.002472
06/1994,0,-0.020266741,-0.026723741,-0.025691741,-0.022588741,-0.028646741,-0.014334741,-0.022808741,-0.026895741,-0.035412741,-0.027910741,-0.021253741,-0.037253741,-0.025453741,-0.029753741,-0.035453741,-0.055053741,0.004146259,-0.034253741,-0.029153741,-0.039853741,-0.028953741,-0.030653741,-0.013000941,-0.011053741,0.001786259,0.020507297,0.000915,0.000575,0.002311328,0.002953741,-0.028287741,0.0131355,8.33E-06,0.00461468,-0.001,-0.000272
07/1994,0,0.010602297,0.005827297,0.009114297,0.012573297,0.017354297,0.014846297,0.023118297,0.033115297,0.032102297,0.029542297,0.026190297,0.033690297,0.044890297,0.029690297,0.036090297,0.035590297,0.028690297,0.048290297,0.004790297,0.007090297,0.024590297,0.019390297,0.033021497,0.027590297,0.000497297,0.035468122,6.80E-05,0.000558333,0.002247401,0.003309703,0.028781297,-0.027843,-0.000175,-0.01086674,0.009,4.80E-05
08/1994,0,0.030932122,0.015337122,0.026047122,0.036155122,0.034259122,0.038204122,0.034442122,0.043424122,0.035073122,0.035420122,0.056825122,-0.005974878,0.035025122,-0.004274878,0.064525122,0.089425122,0.007925122,0.002925122,0.042125122,0.103425122,0.031825122,0.029025122,-0.012242378,-0.006774878,-0.000583878,-0.019405276,0.000125,0.000533333,0.00223431,0.003674878,0.035771122,0.0156433,6.67E-05,0.017128153,-0.001,-0.000356
09/1994,0,0.007409724,-0.023663276,-0.017643276,-0.012446276,-0.013406276,-0.021355276,-0.015600276,-0.029029276,-0.026248276,-0.027779276,-0.006959276,-0.054359276,-0.021959276,-0.024559276,-0.016359276,-0.008359276,-0.014759276,-0.031559276,-0.027159276,0.013540724,-0.051359276,-0.032659276,-0.036833376,-0.030259276,0.000464724,-0.012197364,0.000402,0.000525,0.002253078,0.003759276,-0.026312276,0.0331307,-4.17E-05,0.005844017,0.007,0.000974
10/1994,0,-0.012263364,-0.022015364,-0.019424364,-0.018315364,-0.016695364,-0.017201364,-0.011513364,-0.008501364,0.001113636,0.019654636,0.017968636,-0.018231364,-0.001931364,0.070068636,0.011868636,0.069168636,-0.004531364,0.011968636,0.008568636,0.005168636,-0.000131364,-0.007131364,-0.006081764,-0.008631364,-0.000705364,-0.043185732,0.000191,0.000533333,0.002270377,0.003631364,0.010900636,0.0048301,-0.0001,0.007552801,-0.003,0.003171
11/1994,0,-0.063055732,-0.024692732,-0.044847732,-0.040278732,-0.035560732,-0.044734732,-0.053547732,-0.049276732,-0.049100732,-0.038245732,-0.020741732,-0.054841732,-0.056941732,-0.052541732,-0.062441732,-0.025441732,-0.058641732,-0.001541732,-0.038041732,0.000158268,-0.057341732,-0.052241732,0.002469868,-0.002341732,0.000151268,-7.39E-05,0.000628,0.000533333,0.002303068,0.004141732,-0.041468732,-0.0192165,-0.000383333,-0.006350038,0.008,0.002353
12/1994,0,0.004566069,-0.017944931,0.001462069,0.018282069,0.015490069,0.021453069,0.008008069,0.010567069,0.008844069,0.011080069,0.009237069,0.034337069,0.042537069,-0.013862931,0.023437069,0.021237069,0.005037069,-0.000462931,-0.032562931,0.001237069,0.009937069,0.012437069,0.012102669,0.011737069,0.002251069,0.005639819,0.001032,0.000516667,0.002261025,0.003962931,0.010787069,-0.0087095,-0.000116667,0.010470034,0.004,0.00443
01/1995,1,0.024061819,0.020805819,0.025385819,0.007848819,-0.005399181,-0.010724181,-0.005746181,0.007592819,0.019616819,0.023666819,0.014064819,-0.062735181,-0.006335181,-0.000635181,-0.012535181,-0.012435181,0.037664819,0.057964819,0.010964819,0.057164819,0.052064819,0.018864819,0.022954019,0.021264819,0.002347819,0.024644574,0.000833,0.000491667,0.002190319,0.004335181,0.019265819,-0.0137358,-0.000308333,-0.023744058,-0.01,0.000148
