SheetID	CateName
20160101WDGCP00410000339	散装饼干
20160101WDGCP00510000005	水产联营
20160101WDGCP00510000006	水产联营
20160101WDGCP00510000008	散装米粉类
20160101WDGCP00510000010	梨
20160101WDGCP00510000011	其它豆制品
20160101WDGCP00510000013	梨
20160101WDGCP00510000014	根茎菜
20160101WDGCP00510000015	水产联营
20160101WDGCP00510000015	水产联营
20160101WDGCP00510000018	水产联营
20160101WDGCP00510000018	水产联营
20160101WDGCP00510000022	水产联营
20160101WDGCP00510000024	水产联营
20160101WDGCP00510000027	叶菜
20160101WDGCP00510000029	叶菜
20160101WDGCP00510000030	水产联营
20160101WDGCP00510000032	酱油
20160101WDGCP00510000035	梨
20160101WDGCP00510000035	水产联营
20160101WDGCP00510000038	水产联营
20160101WDGCP00510000039	水产联营
20160101WDGCP00510000041	煮混合口味煮面
20160101WDGCP00510000042	梨
20160101WDGCP00510000043	瓜类
20160101WDGCP00510000043	水产联营
20160101WDGCP00510000043	水产联营
20160101WDGCP00510000044	水产联营
20160101WDGCP00410000284	牛肉味面
20160101WDGCP00410000287	八宝粥
20160101WDGCP00410000287	牛肉味面
20160101WDGCP00410000287	牛肉味面
20160101WDGCP00410000289	牛肉味面
20160101WDGCP00410000290	调味菜
20160101WDGCP00410000290	水产联营
20160101WDGCP00410000338	散装普通大米
20160101WDGCP00410000338	40度以上白酒
20160101WDGCP00410000339	苹果
20160101WDGCP00410000339	味精类
20160101WDGCP00510000001	根茎菜
20160101WDGCP00510000002	面粉
20160101WDGCP00510000004	面粉
20160101WDGCP00510000005	其它豆制品
20160101WDGCP00510000006	面粉
20160101WDGCP00510000009	面粉
20160101WDGCP00510000010	根茎菜
20160101WDGCP00510000010	其它豆制品
20160101WDGCP00510000011	根茎菜
20160101WDGCP00510000011	面粉
20160101WDGCP00510000012	根茎菜
20160101WDGCP00510000013	根茎菜
20160101WDGCP00510000013	柑桔类
20160101WDGCP00510000013	柑桔类
20160101WDGCP00510000013	肉类联营
20160101WDGCP00410000294	身体保养品
20160101WDGCP00410000294	身体保养品
20160101WDGCP00410000295	花生油
20160101WDGCP00410000296	单条针织单裤
20160101WDGCP00410000297	调味菜
20160101WDGCP00410000297	调和油
20160101WDGCP00410000299	收银（购物袋收入
20160101WDGCP00410000302	调味菜
20160101WDGCP00410000302	调味菜
20160101WDGCP00410000303	收银（购物袋收入
20160101WDGCP00410000304	香皂
20160101WDGCP00410000304	香皂
20160101WDGCP00410000305	鸡蛋类
20160101WDGCP00410000307	柑桔类
20160101WDGCP00410000311	调味菜
20160101WDGCP00410000312	柑桔类
20160101WDGCP00410000312	成人中性牙刷
20160101WDGCP00410000315	调味菜
20160101WDGCP00410000315	散装丁优米
20160101WDGCP00410000316	通用卫生巾类
20160101WDGCP00410000317	橡皮糖
20160101WDGCP00410000317	橡皮糖
20160101WDGCP00410000317	软糖
20160101WDGCP00410000318	散装丁优米
20160101WDGCP00410000318	其他口味威化
20160101WDGCP00410000320	奶味果汁
20160101WDGCP00410000321	烧烤味膨化
20160101WDGCP00410000321	烧烤味膨化
20160101WDGCP00410000322	鸡蛋类
20160101WDGCP00410000324	收银（购物袋收入
20160101WDGCP00410000330	伊利常温
20160101WDGCP00410000333	糖
20160101WDGCP00410000334	加工食品
