ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YHR200W,0.395554447,0.676576111,0.601983959,0.172682203,0.655561742,1.333602752,0.865768174,0.362086582,0.289049906,0.277697545,0.358618612,0.515377386,0.221,-0.609,-0.095,0.381,0.431,-0.217,-0.026,0.157,0.027370993,0.572121876,0.230088721,-0.050580995
YGR270W,0.251,0.325,-0.033572641,-0.319,-0.982,-0.466472286,-0.152,0.123545037,-0.116525345,-0.509556492,-0.353314186,-0.128575489,-0.489,-0.447,-0.116,-0.414,,-0.18,-0.049,0.197,-0.346028229,-0.36949922,-0.213393411,-0.318844295
YNL239W,-0.223923573,-0.44410298,0.359538209,0.384400602,-0.450370699,-0.427241685,0.291981195,0.198722992,0.217928449,0.17923507,0.397499391,0.250727619,0.759,0.407,0.222,0.58,0.176,-0.177,-0.05,0.251,0.485458345,0.036370993,0.059107527,-0.161861375
YKL157W,0.304563162,0.744003119,1.128249977,0.122801585,0.381,0.488,0.606,0.370560722,-1.488651692,-1.143240338,-0.756473505,-0.357537036,0.158,0.5,0.174,0.099,0.297,0.315,0.454,0.722,-0.538189569,-0.364,-0.938,-0.245
YJR062C,0.700606136,1.407624993,0.769764724,0.173857582,0.444304337,1.470633308,0.964,0.768027119,-0.026785852,-0.206524694,0.21284386,-0.04394143,-0.128,-0.049,0.152,0.211,-0.008,0.425,0.074,0.387,-0.04381667,0.155575412,-0.266908402,0.042519495
YHR047C,-0.125892473,-0.8679215,-0.75442193,-0.166038327,-0.118607438,-1.128958065,-0.940217792,-0.69242141,-0.775889482,-0.516464535,-0.546341468,-0.606682286,-0.048,0.018,0.012,-0.396,-0.027,-0.201,-0.425,-0.119,-0.459931607,-0.259,-0.299464535,0.060649408
YHR028C,0.24476208,0.642554447,1.084835247,0.180705787,0.126331819,1.374046583,0.919631094,0.09845023,0.30597199,-0.202497834,0.123795892,-0.021417488,0.001,0.23,0.444,0.296,0.113,0.324,0.703,0.884,0.267281815,0.061335782,-0.214783065,-0.200987523
YDR349C,-0.562026694,-0.627454963,-0.202874401,0.159034657,-0.759,-0.819,-0.161333096,0.506553303,-0.120782625,0.167,0.053685737,0.084151829,-0.266,-0.579,-0.576,-0.463,-0.323,-0.843,-0.876,-0.668,0.016409467,-0.069474116,-0.115004559,-0.131
YGL259W,-0.163472926,0.252419005,0.173909921,-0.352237881,-0.228810959,0.483299016,0.030909921,0.040868075,0.154091598,-0.088436838,0.079727619,-0.124324554,-0.258,0.593,0.971,0.95,0.017,0.47,1.075,1.618,-0.212679089,-0.146240334,-0.206013623,-0.3135809
YIR039C,0.993,1.208801585,1.546041613,0.882682203,0.798174649,0.854004522,1.299037436,0.63820744,0.615274475,0.65057807,-0.018958065,0.01079211,0.25,1.013,1.293,1.395,0.037,0.633,1.287,1.745,0.536,0.216831963,-0.46549922,-0.560273391
YLR207W,-0.233195593,-0.289808332,-0.39220789,-0.470638789,0.105,0.097,-0.201199195,-0.002472286,-0.544038586,-0.774,-0.144051401,-0.101750751,-0.279,-0.077,0.301,0.323,-0.789,-0.372,0.149,0.633,-0.159537036,-0.384688106,-0.244291979,-0.219986352
YER017C,0.044984916,-0.028302455,0.023833365,-0.219965343,-0.301755025,-0.156537036,0.060866261,0.036887839,-0.164575489,-0.024783402,0.116463778,0.155216598,0.43,0.97,0.65,0.62,0.13,0.61,0.49,0.71,0.140866261,-0.10959155,0.051307107,0.091247305
YDR144C,-0.089,-0.079810751,0.171138625,0.18,-0.501,,,,0.067724476,0.118,-0.435,-0.593,-0.448,-1.12,-1.499,-1.424,0.169,-0.432,-0.799,-0.703,-0.11534848,-0.269,-0.352,-0.058536222
YCL052C,0.498025536,0.927805427,0.773817605,-0.169298302,0.513968743,1.076468725,0.253514177,-0.389198415,-0.02215614,-0.347,0.06685338,-0.026445553,0.215,0.099,0.771,0.812,-0.049,0.071,0.406,0.512,-0.018957489,0.057691387,-0.421,-0.515525593
YFR050C,0.775077978,1.271310461,1.065016982,0.305779584,0.982952705,1.670864425,1.417485509,0.289669591,0.359394203,0.031012477,0.502040674,0.500514643,-0.009,0.024,0.709,0.845,-0.048,0.106,0.44,0.761,0.136992466,0.180325936,0.175394105,0.085077978
YCL057W,-0.10881667,0.151214148,0.358781486,-0.524579119,0.018273215,0.169831963,0.396408583,-0.0425809,-0.628624893,-0.423616331,-0.053461791,0.158371468,0.428,-0.059,0.159,0.404,0.108,-0.325,-0.075,0.597,-0.568616331,-0.410120712,-0.253242966,-0.266339802
YOR003W,-0.152177624,0.409701698,0.321934432,0.207382067,-0.12,0.206657491,-0.214,0.415660198,0.185247305,0.071067546,0.209325936,0.064013648,0.146,0.547,0.522,0.26,0.123,0.472,0.646,0.569,0.149331819,0.666,0.236611269,0.047125599
YDR139C,-0.182565677,0.135299016,0.137491753,0.297449113,0.237611269,-0.38383444,-0.538612274,-0.207031265,0.275126668,0.340100157,0.153462964,0.071155705,-0.201,-1.111,-1.163,-1.04,-0.281,-0.836,-1.159,-1.175,-0.082255072,0.376335782,0.187005545,-0.046035711
YDR510W,0.333325936,0.321030292,0.367995441,0.464727619,0.308795892,-0.304763028,-0.336831879,0.119785439,0.41391247,0.43256727,0.509,0.605859934,0.745,0.248,0.23,0.314,0.233,0.108,0.249,-0.075,0.300000884,-0.035958065,0.263768174,0.15676208
YPL020C,-0.061848171,0.148,0.03616556,0.085799656,-0.242515663,-0.101989627,-0.332932073,0.266,-0.505445849,-0.371052166,-0.390565677,-0.327111093,-0.128,,-0.163,-0.396,0.124,0,0.301,0.191,-0.295329172,-0.149168037,-0.454419393,-0.209314263
YOL013C,1.03321275,1.083746373,0.96850078,0.62556727,0.990514643,1.512,0.711041935,-0.093472286,0.021500394,-0.447290449,0.370760542,0.078948599,0.118,0.347,0.459,0.066,0.67,0.329,0.478,0.487,-0.240892473,-0.01281667,-0.222141883,-0.126472286
YBR286W,0.315008664,0.420034657,0.518854156,-0.029133739,0.355708021,1.401140597,1.461636863,0.577422204,0.286463778,0.28040845,0.205077978,0.091247305,0.8,0.65,0.78,0.89,0.703,0.61,0.67,0.84,0.375008664,0.205216598,-0.246450356,-0.364575489
YKL103C,1.612419005,2.155948599,2.004976522,0.94854463,1.394546289,1.793271046,1.454,0.608281815,-0.236397248,-0.215523814,-0.35386187,-0.234832265,0.639,1.72,2.804,3.086,-0.239,0.852,1.841,2.296,-0.043793913,-0.218977819,-0.840381388,-0.723765729
YPL154C,1.538315074,1.862354862,2.346311419,1.530961414,0.636722992,1.93396005,1.640040862,0.890428086,-0.175479397,-0.302398037,0.055100157,-0.084899843,1.062,1.99,2.871,2.92,0.26,0.961,1.967,2.242,-0.475726785,0.231121876,-1.04628642,-0.675427134
YDL077C,0.504189484,0.765138582,0.416048131,-0.061874092,0.629868245,0.084137875,0.093071048,-0.36,-0.352216103,-0.423290449,-0.446398037,-0.198752695,0.006,0.523,0.375,0.1,,0.716,0.38,0.715,-0.233536222,-0.224575489,-0.175015084,-0.089445553
YJL172W,0.724008664,1.301705787,1.855241105,0.761658532,-0.221,0.126,0.237299016,0.032,-2.13984413,-2.185256632,-1.994445553,-2.260367577,0.578,1.689,1.41,1.273,0.483,0.835,0.941,1.019,-0.733920008,-1.219473804,-0.99,-0.97
YEL060C,1.326026241,1.928628108,1.364952705,0.320554447,0.33916264,0.744375114,1.385233925,0.28448127,-0.994769774,-1.475015084,-1.223536222,-1.688648801,0.789,2.475,2.724,2.549,0.159,1.019,1.17,1.568,-1.075810516,-0.889147916,-0.87,-0.824783402
YBR201W,0.022572866,-0.02004825,0.771531278,0.343038865,0.15479211,0.435811137,-0.083274652,-0.073285151,0.003428086,-0.24897463,0.001532513,-0.339692893,,-0.409,0.02,-0.101,-0.104,0.088,-0.051,-0.443,-0.047118116,-0.131711097,-0.103,-0.18017968
YPL003W,1.117936932,1.10096005,0.319,-0.076477557,1.004,0.596,0.528228488,-0.217655295,-0.107398037,-0.281063275,0.142936725,0.239012477,0.106,0.735,0.947,0.603,0.274,0.762,0.729,0.592,0.188502547,0.155743368,0.041474655,0.312038664
YPR066W,0.623987314,0.966746373,0.813394105,0.216529183,0.04,0.776,0.255964949,0.423,-0.079652163,-0.468,-0.089109398,0.082507018,0.408,0.832,0.522,0.112,0.392,1.065,0.366,0.146,-0.020999653,-0.019424002,0.414733225,0.377733225
YPR180W,0.409554151,0.934375114,0.572526495,0.487265434,0.542398187,0.528016982,0.482368784,0.048234271,0.150419005,-0.633,0.070701698,-0.03681667,-0.33,-0.264,0.22,0.227,-0.86,-0.131,0.02,-0.169,-0.009341522,-0.177442513,-0.022499913,-0.081950094
YBR173C,0.603997652,1.000580607,1.175765446,0.261739055,0.900527286,1.390554447,1.266782208,0.209322367,0.220449113,-0.0200575,0.43306016,0.520936725,0.509,-0.004,0.272,0.61,0.484,0.104,0.01,0.08,0.305399658,0.264112287,0.353422716,0.066
YDL020C,0.430649408,-0.67947496,-0.319951869,-0.163708551,0.456762119,-0.391124067,-0.234522881,-0.412790597,0.554986377,0.103112287,0.615500087,0.617831963,0.203,1.61,1.154,0.687,0.18,1.535,1.581,1.231,0.701526154,0.673342353,0.058701923,0.632424511
YKL145W,0.602086024,1.132281365,0.921798438,-0.231134677,0.254324858,0.973829116,1.363,-0.098424002,-0.187924491,-0.293495754,0.195161886,0.337419005,-0.101,-0.518,-0.113,0.21,0.099,-0.236,,0.132,0.074182731,-0.048899843,-0.371360305,-0.244765729
YFR010W,0.461247305,0.508817605,0.665008664,-0.085585032,0.276782208,0.898138528,0.759421112,-0.08429245,-0.051832265,-0.171861472,0.086463778,0.13,0.797,1.248,1.517,1.506,0.382,0.7,1.179,0.952,-0.209688106,-0.03042141,0.010311894,0.023022181
YDR390C,-0.089302455,-0.119965343,-0.082427134,0.16157859,-0.380631216,-0.496,-0.467417488,-0.291485823,-0.404675564,-0.216274652,-0.156624886,-0.230417488,-0.127,-0.396,-0.301,-0.39,-0.087,-0.206,-0.128,-0.291,0.063963944,-0.13829245,-0.200656941,-0.143747363
YKL210W,-0.086718635,-0.134483995,-0.079886271,-0.67223792,-0.155305918,0.217527074,0.172255254,-0.356,-0.720652163,-0.689790597,-0.266,-0.139622614,0.324,0.26,0.452,0.575,0.666,0.501,0.638,0.936,-0.301408432,-0.785,-1.663,-0.745298302
YBR082C,0.476048131,0.415424511,0.572475306,0.305424511,0.782805427,0.554414968,0.366948599,0.268125569,0.050554447,0.084189484,0.305216598,0.215008664,0.613,0.158,0.042,-0.031,0.32,-0.034,-0.507,-0.628,0.192475306,0.088817605,0.432216935,0.045216598
YDL064W,-0.591847166,-0.132580427,-0.118302455,0.346048131,-0.86178725,-0.553051401,-0.29849861,0.19276208,0.094377386,0.72,-0.02,0.385424511,,-0.736,-0.506,-0.222,0.229,-0.423,-0.455,-0.394,0.325,0.200866261,0.239440067,-0.034991336
YDR054C,0.233724476,-0.022924491,-0.018797511,0.022768174,0.243859934,0.24918333,0.286086582,-0.027441431,0.137038664,0.188126668,0.260708021,0.213531278,-0.189,0.059,0.185,0.069,-0.456,-0.109,0.052,0.135,0.321849185,0.047679232,-0.420987523,-0.187256632
YDR059C,1.031247305,2.03981382,2.287639695,1.002139174,0.585667926,1.858520603,1.126071753,0.537252637,-0.081727324,-0.108579119,0.066948599,0.112022181,-0.16,0.609,1.405,1.614,-0.338,0.032,0.312,0.696,-0.09792381,0.27184386,-0.248800028,-0.355015084
YDR092W,0.185424511,0.565077978,0.360866261,0.005008664,0.315201896,0.321697545,0.5174191,0.376048131,0.420034657,0.409992883,0.420034657,0.728645556,0.08,-0.25,0.02,0.28,0.21,-0.23,-0.19,-0.07,0.037002484,0.107474407,0.176463778,0.045216598
YDR177W,0.42718333,0.410138625,0.405701698,0.518817605,0.743302642,0.512746373,0.527502547,0.246939394,0.230554447,0.287502547,0.445424511,0.440034657,0.035,-0.416,-0.134,0.117,0.089,0.027,-0.344,-0.222,0.380554447,0.423462964,0.456048131,0.076463778
YEL012W,1.390768174,1.62247462,1.908391797,0.670138625,1.475077978,1.471301342,1.008620458,-0.162580427,0.382897352,-0.276827515,0.191349025,0.020682203,0.367,1.195,2.012,2.003,-0.118,0.733,0.984,1.434,0.445077978,0.728125569,-0.461,-0.240004559
YGL058W,0.292725348,0.438658532,0.634307107,0.401041935,0.196518056,0.061394105,-0.238,-0.156932454,0.254329107,-0.03504301,0.374611269,0.092781486,-0.054,0.223,0.068,-0.114,0.269,0.446,0.208,-0.027,0.063890602,-0.122370699,0.24505857,0.411003119
YGR133W,0.507502547,0.371247305,0.342274475,0.055849185,0.485230226,0.477783897,-0.017524694,0.518952643,0.009516005,0.072805427,0.215008664,0.335216598,0.535,0.671,1.037,1.027,0.316,0.623,0.792,0.647,-0.097194573,-0.013051401,0.150034657,-0.069965343
YLR306W,-0.206436838,-0.21583444,-0.536,-0.095063068,-0.471,,0.179,,0.179677645,0.218304337,0.322,0.382798358,0.23,-0.512,-0.363,-0.213,-0.036,-0.423,-0.544,-0.917,0.496190948,-0.161354907,0.159,-0.04414662
YMR022W,0.47965804,0.67063462,0.329067546,-0.281256632,0.0554814,0.584744928,-0.477,,-0.341656941,-0.7759215,-0.481153897,-0.230499606,0.082,-0.046,0.428,0.169,0.098,0.068,0.187,-0.231,-0.486205308,-0.289656941,-0.540752695,-0.417489516
YMR223W,-0.726309598,-0.79325653,-0.28276493,-0.351255953,-0.655766075,-0.37,-0.695,-0.569987523,-0.255720399,-0.561504913,-0.059908402,-0.313747363,0.09,0.083,0.146,0.027,0.038,0.06,0.346,0.171,-0.356175355,-0.502957489,-0.818,-0.191253627
YMR304W,0.427,0.565110518,0.679606589,-0.062,0.66,1.098801585,0.470807608,-0.15332632,-0.102310676,-0.619052166,-0.144899843,0.076271046,0.321,-0.029,0.355,0.803,0.152,-0.54,0.084,-0.149,-0.346354444,0.045374987,-0.361438258,-0.495967942
YPL072W,0.300582512,0.031040862,-0.491027985,0.093234271,0.172807608,0.489657928,-0.267211749,-0.106664218,0.215211503,0.332,0.303191668,0.284400754,-0.317,0.198,0.371,-0.068,0.005,0.377,0.403,0.134,-0.059,-0.053,-0.12,0.148038865
YMR264W,-0.024747363,0.411701923,0.575,0.606138625,0.119137875,0.300375114,0.473667926,0.6460937,0.181067546,0.057822376,0.246291449,0.047013648,-0.125,-0.748,-0.779,-0.495,-0.104,-0.402,-0.897,-0.707,0.340977055,0.023538209,0.292067546,0.008514643
YBR165W,0.766650693,0.667152834,0.26167368,0.435601963,0.899,0.657973306,0.519551901,-0.064120712,0.168288903,0.134012412,0.243354862,0.048274362,0.695,1.448,1.15,0.66,0.812,1.525,1.032,0.545,0.172,0.42618333,0.24737976,0.67796005
YLL039C,1.50538718,2.511247305,2.689698448,0.91957859,1.63040845,1.952649408,1.794414968,0.234984916,0.37040845,-0.144150815,0.365008664,0.35040845,-0.07,0.53,0.7,0.73,0.06,0.91,0.82,0.92,0.300866261,0.202216935,0.165216598,0.235216598
YBL067C,-0.908782716,-0.078489516,0.422335782,-0.596242966,-0.70620789,0.084708205,0.166594844,-0.100617934,-0.818875314,-0.98,-0.762480505,-0.643175355,-0.394,-0.338,-0.26,0.112,-0.004,-0.392,-0.035,0.317,-0.48193984,-0.428329138,-0.336142418,-0.396495754
YER098W,0.237012477,-0.056708551,0.15396005,0.097258457,0.060013648,0.555986377,-0.22313594,-0.056142418,0.047,-0.293,-0.208381388,-0.575556492,0.105,0.327,0.312,0.295,0.031,0.188,0.422,0.446,-0.386599246,-0.380354444,-0.09,-0.76
YNL186W,-2.50394614,-1.797550887,-1.16842856,-0.360355918,-2.07,-1.275874934,-0.369255953,-0.023150815,0.523215159,0.585,-0.355932073,0.071463778,-0.954,-1.893,-2.049,-1.385,-1.546,-1.794,-1.562,-1.447,0.051307107,0.166685737,0.478,-0.005339802
YER100W,0.26350139,0.539986377,0.63867368,0.200100157,0.543138528,0.577572866,0.707858117,0.150926248,0.474952397,0.264301437,0.177034657,0.247726609,-0.022,-0.127,0.125,0.323,0.006,-0.186,-0.117,-0.092,0.505529165,0.283606136,0.098125569,-0.061783402
YGR184C,-0.037445849,-0.054783402,0.513744719,0.113040674,-0.591342072,-0.244,-0.051,-0.22,-0.151218514,-0.03,-0.069133739,0.051783897,0.06,-0.103,0.074,0.532,0.197,-0.218,-0.03,-0.17,-0.016697358,-0.306916329,-0.116878124,-0.202211749
YER125W,-0.451182395,-0.432497453,-0.238752695,-0.524575489,-0.484150815,0.14096939,0.18878566,-0.131145844,-0.234575489,-0.547783065,-0.159445553,-0.422497453,0.764,1.167,1.19,1.194,0.699,1.013,1.059,1.269,-0.367783065,-0.199445553,-0.350483995,-0.353536222
YBR058C,-0.137783065,0.018817605,0.549514555,-0.196697358,-0.279445553,-0.011145844,0.07,-0.239861375,-0.242497453,-0.532497453,-0.174298302,-0.141182395,0.03,0.09,0.07,0.29,-0.09,-0.05,0.24,0.32,-0.334412111,-0.296537036,-0.361182395,-0.329177624
YDL122W,-1.124758895,-0.782663335,-0.241616331,-0.156663335,-0.803841303,-1.032862125,-0.562580995,-0.352195593,-0.319995478,-0.058319359,-0.567718635,-0.347,-0.024,0.127,0.081,0.029,-0.054,0.239,0.172,0.192,-0.275663335,-0.204655295,-0.068679089,-0.072728303
YDR069C,0.573,0.438375114,-0.202541655,-0.468485823,0.230304422,0.122392968,-0.438,-0.142778128,-0.04381667,-0.419419393,-0.034438258,-0.419334738,0.141,0.685,1.007,0.649,0.022,0.903,0.886,0.753,-0.181416737,0.318395605,-0.490670893,0.00850078
YER151C,-0.208692893,-0.358752695,-0.415810516,-0.124195593,-0.258761946,-0.567547828,-0.506910434,-0.15,0.055216598,-0.079965343,-0.07316781,-0.054575489,0.132,-0.231,0.15,0.349,-0.34,-0.582,-0.197,0.018,-0.064769774,-0.143217792,-0.159133739,0.076948599
YIL156W,,-0.568,,,,-0.495,,,,,-0.049684926,-0.234,-0.196,-0.41,-0.03,0.032,0.087,-0.05,0.563,0.222,,-0.077,,
YJL197W,-0.602329172,-0.218,-0.375298302,-0.266470817,-0.443,-0.275590533,-0.642240962,0.132624993,0.057670862,-0.441135575,-0.422324554,-0.297140066,-0.493,-0.401,-0.223,-0.036,-0.711,-0.658,-0.426,0.021,-0.332622614,-0.057500609,-0.22680132,-0.373058647
YJR099W,0.221105859,0.923394105,0.852795892,0.437387726,-0.01,0.962,0.549247305,0.162,-0.047423889,,0.334500087,0.322576111,-0.161,-0.252,-0.052,-0.07,-0.277,0.094,-0.084,-0.33,0.138574129,0.372973208,0.307333032,0.328510484
YKR098C,0.37413813,-0.219361506,0.715677645,0.529,-0.086,,,0.719,-0.107495754,-0.245,-0.161622614,-0.243153897,-0.156,0.795,1.336,1.446,0.02,0.239,1.165,1.558,-0.295566156,0.178,-0.558375007,-0.653026694
YOR124C,0.208817605,0.687502547,1.028817605,0.154249249,0.547783897,0.904414968,0.318945516,-0.245291795,-0.125944518,-0.479445553,-0.014922022,-0.118752695,-0.38,0.14,0.36,0.34,0.5,0.34,0.72,1,-0.319312054,-0.260128762,-0.689688106,-0.524298302
YKL213C,1.115514555,1.42218859,1.206724976,0.662121876,-0.042102663,0.991602752,0.649152834,-0.188525593,-0.846329138,-1.222497453,-1.032650975,-0.957177624,-0.035,-0.484,-0.277,-0.047,,-0.122,,-0.127,-0.290468722,-0.605708551,-0.931755025,-0.53843273
YMR275C,-0.336329138,-0.127214561,-0.40181141,,-0.396688106,0.292,0.122,-0.922,-0.333013623,-0.680708551,-0.145497453,-0.169967942,-0.91,-0.362,0.242,-0.016,-0.22,-0.667,-0.307,0.257,-0.512,-0.283380747,-0.391,-0.180354357
YDL190C,-0.240646448,-0.350393864,-0.05208495,-0.06685167,0.008,,,-0.191,-0.268472926,0.301476186,-0.022994455,-0.014499913,-0.06,0.133,-0.088,0.029,0.076,0.127,0.378,,-0.019184105,-0.29287073,0.168086663,-0.088339802
YKL010C,0.181086582,0.305112287,-0.219580427,0.123,-0.224464041,-0.368878124,-0.277763043,-0.077220416,-0.168579119,-0.394532478,-0.378,0.048582512,,-0.33,-0.093,-0.02,-0.491,-0.436,-0.337,0.036,-0.036617934,-0.127477557,0.04455521,-0.156063275
YGR048W,1.920973306,1.953455033,0.679934751,-0.194472286,2.004,1.439246395,0.855,0.120143709,0.187554447,-0.240214561,0.676563162,0.842234271,-0.691,-0.083,0.75,0.618,-1.111,-0.266,0.495,0.498,0.195527074,0.240853845,-0.393808332,-0.025747363
YOR339C,-1.173464535,-0.763438258,-0.505464041,-0.440670893,-0.583,-1.322,-1.146,-0.774,-0.184015084,-0.060524694,-0.098378373,-0.066874092,-0.884,-1.268,-0.96,-1.119,-1.003,-1.185,-0.965,-1.294,0.305685814,0.374271697,0.235551901,0.009361211
YML111W,0.319228488,-0.11947496,0.00316264,0.60316556,0.784726609,-0.031989627,0.32248127,0.57864072,0.282,0.392291449,0.242984916,0.289859934,-0.5,-0.21,-0.26,-0.23,-0.28,-0.12,-0.15,-0.12,0.11015587,0.175964289,0.029500394,0.31019868
YNL148C,-0.215555957,0.261861211,0.319174649,0.128138625,0.02335195,0.232,0.709,-0.095111093,-0.088874092,0.185594844,0.324040674,0.421779584,-0.308,-0.768,-1.081,-0.907,0.14,-0.508,-0.462,-0.821,-0.031461791,0.188214148,0.20352504,0.009846103
YBR044C,0.478554151,0.284632423,-0.108398037,-0.538886271,0.298108053,1.11884386,0.392500394,-0.204255072,-0.394,-0.565,0.034667926,0.083859934,-0.281,0.085,0.003,-0.231,0.284,0.329,0.215,0.247,-0.033967907,-0.195580995,-0.198291979,-0.083142418
YBR227C,-0.555845287,-0.16794143,-0.054878124,-0.440922022,-0.329237881,0.4549474,0.082666904,-0.206102663,-0.435310676,-0.514302455,-0.195038327,-0.183892473,0.21,-0.16,-0.06,0.24,-0.07,-0.17,0.02,-0.07,-0.713958065,-0.17645537,-0.070847735,-0.282684926
YFL016C,1.057677645,0.646083678,0.248706738,-0.282572641,1.56229594,1.460877216,0.930751362,-0.125861418,0.121247305,0.037249249,0.434738552,0.264443508,0.98,1.776,1.671,1.342,0.472,1.75,1.581,1.288,0.088500394,0.342158697,0.304164579,0.195008664
YEL003W,-0.033217792,-0.151182395,-0.248752695,-0.084922022,0.367502547,-0.338339979,-0.250928176,-0.048446697,0.277783897,0.581247305,0.252685737,0.155701698,0.107,-0.433,-0.456,-0.231,0.388,-0.053,-0.283,-0.498,0.505424511,0.371247305,0.386782208,0.280311894
YMR186W,0.732333032,0.171902273,-0.185555957,-0.457999653,0.75618333,-0.171565677,-0.030141341,-0.400679747,0.002822376,0.161291449,0.242,0.048801585,0.183,-0.093,0.035,0.096,0.242,0.241,0.385,0.039,0.271455033,-0.002113076,0.428221872,0.419618612
YGL018C,0.235863653,0.942744719,0.689964949,0.203086547,-0.741807235,0.157,-0.186,-0.171334738,-0.301550887,-0.328470835,0.073868075,0.09506016,0.68,0.622,0.848,,0.3,0.371,0.231,0.155,-0.25,-0.252612274,-0.049,-0.261861375
YOR027W,0.564507018,-0.351986352,-0.884525345,-1.133986352,0.661,0.5,-0.2633282,-0.407607032,-0.111728954,-0.120134677,0.395394105,-0.024350592,0.85,1.155,0.985,0.938,0.645,1.053,1.382,1.074,0.169455033,0.169872395,0.202902273,0.547798358
YDR188W,-0.240007117,-0.034991336,-0.01959155,-0.176537036,-0.282997516,0.359992883,0.308243159,-0.05,-0.290128762,-0.087783065,0.165424511,0.150138625,0.134,-0.531,-0.406,-0.09,0.494,-0.195,-0.153,0.149,-0.093051401,-0.338302455,-0.156802207,-0.234298302
YDR212W,-0.182497453,-0.024150815,0.108125569,-0.044695663,-0.10343273,-0.061874431,0.202835693,-0.002525345,0.084189484,0.22613813,0.050034657,0.005008664,-0.086,-1.424,-1.235,-0.642,0.093,-0.946,-0.956,-0.421,0.245077978,0.115077978,-0.199965343,-0.099445553
YIL142W,-0.481959326,0.092463341,0.171831963,-0.296874431,-0.330695982,0.16418859,0.366890602,-0.273688105,-0.018977819,-0.050902221,0.094449113,0.193049906,-0.271,-0.681,-0.496,,0.233,-0.485,-0.435,-0.445,0.043214785,0.072,-0.196181233,-0.049874092
YJL008C,0.079514643,0.175032058,-0.02408753,-0.162275024,0.341,0.465510484,0.613831963,-0.078873332,-0.243266775,-0.138479334,0.074252637,0.328121876,-0.339,-1.023,-0.896,-0.518,-0.122,-0.852,-0.781,-0.293,0.063563162,-0.055141883,-0.246672796,-0.096035711
YJL014W,-0.096987523,0.163680641,0.141691387,-0.330244034,-0.219624721,0.481392562,0.505689417,-0.246470835,-0.03715614,-0.25694614,0.316846103,0.657209403,-0.268,-1.296,-0.971,-0.795,0.076,-1.01,-1.033,-0.78,-0.139886271,-0.175194573,-0.147342072,-0.06115614
YJL111W,-0.069,-0.178204108,-0.370019325,-0.52682661,-0.683,0.178,1.075,0.18138623,-0.013971928,0.248677088,0.205670862,0.301221872,-0.142,-0.963,-0.819,-0.615,0.064,-0.83,-0.65,-0.569,0.162000884,-0.101,-0.801,0.000161886
YDL143W,-0.039368219,0.313258457,0.303532513,-0.155436838,-0.116833438,0.379098855,0.686449583,-0.191458526,-0.017913418,0.01676208,0.206400602,0.176984916,0.081,-0.483,-0.283,-0.029,-0.217,-0.742,-0.85,-0.352,0.332871197,0.262038865,0.116810431,-0.118991336
YKL117W,0.480333032,0.805801585,0.98102537,0.456634623,0.418751362,0.947740702,1.218,0.776570637,0.092953091,0.282545834,0.120107527,0.360888907,0.461,0.015,0.537,0.802,0.466,-0.187,0.308,0.311,0.12405857,0.176232183,-0.156308613,-0.190650975
YPL240C,0.570580607,-0.142424002,-0.264097105,-0.710920008,1.02771358,-0.010133963,-0.185314753,-0.639969708,0.308750441,-0.210986352,-0.073886271,-0.140991336,0.582,0.47,0.543,0.517,0.391,0.416,0.637,0.291,0.20389702,0.430670862,0.272186194,0.238049906
YDR258C,1.555849185,0.918125569,1.021247305,0.43,1.361518056,1.204952705,0.555230226,-0.013,-0.324150815,-0.908947569,-0.219688106,-0.507332074,0.9,2.06,1.99,2.05,1.02,2.25,2.17,2.03,-0.218302455,-0.233951869,0.011301342,0.430554447
YLR259C,-0.249341468,-1.090485357,-1.145590533,-0.658684926,-0.129365901,-1.138559933,-0.52,-0.096405647,-0.27487073,0.205070835,0.077247305,0.127782208,0.397,0.485,0.333,0.283,0.049,0.033,0.187,-0.017,-0.039234554,-0.228931607,0.104613204,0.231670862
YMR089C,-0.200334738,-0.074427134,-0.334965343,-0.604718185,-0.369972958,-0.285608203,-0.239,0.005527074,-0.219177624,0.066514643,0.023040674,0.000291449,-0.619,-0.816,-0.499,-0.075,-0.44,-0.709,-0.077,0.19,-0.460140066,-0.082028229,-0.193,-0.172892473
YNL328C,0.017,0.72886406,0.232,,,,,,0.269217284,0.205,,0.152,-0.457,-0.135,-0.24,-0.45,-0.164,-0.325,-0.18,-0.127,-0.305,-0.348,0.305,0.171
YOR020C,0.83889702,0.494532513,0.501629244,0.316216598,0.981755966,0.132033499,0.087690656,0.179468725,0.287003119,0.469939394,0.550866261,0.460216935,0.137,-0.086,-0.106,-0.225,0.046,0.451,0.25,-0.349,0.09066429,0.574897352,0.662887839,0.794519495
