ORF,Ca_5_min,Ca_15_min,Ca_30_min,Ca_60_min,Ca_FK506_5_min,Ca_FK506_15_min,Ca_FK506_30_min,Ca_FK506_60_min,Ca_Ca_FK506_15_min,Ca_Ca_FK506_30_min,crz1_Ca_15_min,crz1_Ca_30_min,Na_15_min,Na_30_min,Na_45_min,Na_60_min,Na_FK506_15_min,Na_FK506_30_min,Na_FK506_45_min,Na_FK506_60_min,Na_Na_FK506_30_min,Na_Na_FK506_45_min,crz1_Na_30_min,crz1_Na_45_min
YJR152W,-0.152417488,0.103333032,0.096995441,-0.740782625,-0.344,-0.789,-0.577,0.077,-0.067489516,-0.472,0.174945516,-0.085931754,-0.511,-0.343,0.325,0.238,-0.413,-0.424,-0.002,0.224,-0.122038748,-0.338817269,-0.420536222,-0.308785215
YIR029W,0.409121876,0.152765446,0.05406016,0.181,,0.163,,,-0.183417319,-0.114141883,0.335768174,0.07064072,0.118,0.785,1.1,1.048,0.099,0.311,0.818,0.855,-0.1349063,-0.213788677,0.12647462,-0.079375007
YIR028W,-0.356,-0.346,-0.558,,-0.127991336,,-0.413,0.187,-0.278375007,0.215,-0.089,-0.007,-0.622,0.459,0.623,0.25,-0.58,0.114,0.393,0.37,0.293,-0.423,0.181,0.049859934
YIR027C,0.542394105,0.532,0.18450139,0.204,,0.315,,,-0.779113076,-0.646684926,-0.146903196,-0.420674064,-0.274,0.388,0.875,1.09,-0.293,-0.201,0.531,0.766,-0.16104301,-0.30792381,-0.385862125,-0.392234554
YIR031C,0.889209403,0.804865323,0.094138582,0.019866261,0.485,0.89,-0.623,-0.445703571,-0.428642615,-0.639951869,0.957726609,0.349419005,-0.114,0.75,0.773,0.264,0.27,0.796,0.996,0.612,-0.056841303,-0.058140066,-0.208878124,0.260034657
YFL050C,-0.109150815,-0.003825351,0.434664254,-0.312,-0.516133963,-1.203,,-0.386407222,-0.122599398,-0.44079256,0.064,-0.180727324,-0.54,0.02,-0.01,-0.3,-0.31,-0.28,0.2,0.05,-0.275049405,-0.383013623,0.015,-0.121537036
YOL130W,-0.693536222,-0.515544967,-0.864,-0.778454166,-0.674995478,-1.128525345,-0.943478816,-0.757624802,-1.302836925,-1.279998614,-1.284,-1.131759723,-0.499,-0.639,-0.783,-1.11,0.071,-0.297,-0.241,-0.317,-0.307,-0.465865609,-0.509665679,-0.286199195
YHR037W,0.510807608,0.575008664,0.62138718,0.156888907,1.111,1.714,1.409,0.551249558,-0.157575489,-0.28,0.14817339,0.167249249,-0.14,1.125,0.5,0.19,0.08,0.53,0.85,0.68,0.202568806,-0.010881552,-0.151472714,0.175510484
YMR189W,-0.783005506,-0.060813806,0.484725348,0.591140597,-0.207763028,0.59251046,0.874167735,1.162162563,0.241325936,0.657201788,0.438138528,0.483325936,0.07,0.27,0.61,0.3,0.15,0.58,0.46,0.39,0.072221872,-0.126537036,0.031247305,0.273399658
YDR019C,0.157987314,0.390952298,-0.19,0.082507018,-0.481998481,-0.412022757,-0.025,0.070392968,-0.002913418,-0.009532478,0.05640845,-0.044638789,0.015,-1.31,-0.703,-0.37,0.082,-0.89,-0.574,-0.465,-0.308199195,-0.064355918,0.212744928,0.054271046
YML004C,1.591307107,2.234444043,1.647685814,0.438400602,1.619587371,3.194545834,2.744,0.391545834,0.968400602,0.622216935,0.791121876,0.477545834,0.334,1.821,2.667,2.654,0.334,1.875,2.56,2.705,0.368152834,0.571708021,-0.174448385,0.114563162
YFL010W-A,-0.014783402,0.221247305,0.450866261,0.480138625,-0.221743396,-0.189261448,0.189645643,0.597803872,-0.304575489,-0.556689539,-0.259965343,-0.586537036,0.834,0.456,0.834,1.047,0.59,-0.112,-0.053,-0.016,-0.061182395,-0.091182395,-0.115810516,-0.296537036
