id,condition,scenario,support,achieve,unintended,agency1,agency2,agency3,agency4,agency5,agency6,personalpeople,politics,sex,edu,state,income,hispanic,race,suspicious,comments,notes
9,3,7,1,1,7,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
9,3,8,4,4,7,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
9,3,10,1,1,7,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
9,3,11,7,4,4,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
9,3,13,1,1,7,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
9,3,14,7,7,1,7,7,7,7,7,7,7,4,1,8,6,5,2,6,No,,
10,2,1,1,1,7,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,2,1,1,7,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,5,1,5,7,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,7,7,6,1,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,8,6,5,2,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,10,2,2,7,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,13,1,1,7,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
10,2,14,5,4,5,7,7,7,7,7,7,5,4,2,8,22,3,2,4,No.,N/A,
11,1,2,1,2,4,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,3,1,3,4,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,7,1,2,2,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,8,1,2,3,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,9,1,3,2,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,12,1,2,2,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,13,1,3,2,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
11,1,14,1,1,7,6,6,6,7,6,4,6,7,1,9,30,5,2,4,no,,
12,4,1,1,2,5,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,2,1,2,2,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,3,5,5,2,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,4,1,4,7,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
12,4,5,6,6,3,7,7,7,7,7,7,2,5,2,8,10,4,2,4,No,,
