"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"17","【CCTV】自然传奇  湖泊与动物","2017-01-05 05:07","22","0","0","3",394,1680,0,0,"CCTV
动物
印度洋
斯里兰卡
自然传奇","CCTV 本期节目主要内容：在广阔的印度洋有一小片陆地让人心驰神往，那里遍布大大小小的湖泊，那里的树林有世界罕见的动物。（《自然传奇》 20170103 湖泊与动物）"
"18","【CCTV】自然传奇  狂野捕食者","2017-01-05 05:07","24","0","1","3",394,1680,0,0,"CCTV
动物
食草动物
食肉动物
自然传奇
生态链","CCTV 本期节目主要内容：五六百万年前，地球上的气候开始变得干旱，森林退化成为广阔的草原，成为食草动物的天堂，捕食者大量繁殖，控制了食草动物的数量。（《自然传奇》 20170104 狂野捕食者）"
"19","【纪录片】汉服复兴进行时 (2006年)","2017-01-05 04:38","42","0","0","3",8,2,0,0,"传统
中国
明朝
礼仪之邦
文化
汉服
服饰
华夏
纪录片
汉族","优酷 ."
"20","【CCTV】地理中国  冬日奇景·雪谷探奇","2017-01-05 04:22","14","0","0","0",394,1680,0,0,"CCTV
历史
黑龙江
地理中国
锅盔山
尚志市
张广才岭","CCTV 本期节目主要内容：黑龙江省尚志市以南90千米处有一片神秘山岭，抗日英雄赵尚志曾在这里带领战士，和日军周旋，历经百余次战斗，消灭了大量日军。抗日的硝烟虽然已经散尽，但是人们面对这片白雪覆盖的山岭，依然有着许多困惑。在一片皑皑白雪之下，当年抗联战士是如何生存的， 他们又是如何利用地形打击日寇的，这片山岭在寒冬腊月里又有着什么不为外人所知的地理特征呢。（《地理中国》 20170104 冬日奇景·雪谷探奇）"
"21","【CCTV】地理中国  冬日奇景·江冰里的秘密","2017-01-05 04:19","10","0","0","0",394,1680,0,0,"CCTV
东北
冰雕
松花江
哈尔滨
黑龙江
地理中国","CCTV 本期节目主要内容：每到寒冬腊月，哈尔滨人都会制作许多晶莹剔透的冰雕，而据说几乎所有的大型冰雕都必须要用松花江的江冰才能够做成，那么松花江的江水究竟有什么特殊之处？松花江的江冰又有着怎样非同一般的性质？（《地理中国》 20170103 冬日奇景·江冰里的秘密）"
"22","【CCTV-《远方的家》】一带一路系列节目 印度尼西亚篇(15集全)","2017-01-05 02:37","204","0","2","22",45,319,1,0,"丝绸之路
印度尼西亚
一带一路
21世纪海上丝绸之路经济带","印度尼西亚简称印尼，位于亚洲东南部，地跨赤道，与巴布亚新几内亚，东帝汶，马来西亚接壤，是世界上最大的群岛国家，由17000多座岛屿组成。印尼国家博物馆收藏了很多中国古代瓷器，记录了古代海上丝绸之路的繁荣，也见证了中国和印尼两国友好交往的历史。印尼是世界上穆斯林人口最多的国家，无论在城市，还是乡村，随处可见大大小小的清真寺。"
"23","【CCTV10】人物：先生（第二季）【全10集】","2017-01-05 02:16","304","0","4","57",1,7,1,0,"CCTV
文化
人文
纪录片
陈寅恪
辜鸿铭
金岳霖
吴宓
冯友兰
刘文典","http://tv.cctv.com/2016/12/10/VIDE0SJbYFWjAgRljS6jj3TC161210.shtml cctv10人物栏目出了《先生》第二季，分别介绍了刘文典、熊十力、金岳霖、陈寅恪、冯友兰、蒋梦麟、吴宓、叶圣陶、梁启超和辜鸿铭这十位民国时期的著名学者。第一季在这里→av4354309"
"24","伦敦申办奥运会的有趣故事","2017-01-05 00:42","318","1","0","3",50,59,0,0,"伦敦
2012
伦敦奥运会
2012奥运会
申办","伦敦申奥 伦敦申办奥运会的有趣故事"
"25","魅力纪录：南美五猛兽","2017-01-05 00:37","484","0","1","19",577,1536,1,1,"狼
美洲狮
食蚁兽
短吻鳄
美洲豹
鳄鱼
美洲虎
巨蟒
黑熊
水蚺","http://i.youku.com/i/UMzk0Njc1NTk2 魅力纪录：南美五猛兽"
"26","【央视纪录频道】影响世界的五大名人 【中字】 五集全","2017-01-04 23:32","900","4","2","30",1,4,10,0,"可口可乐
汤姆·汉克斯
伊丽莎白女王
比尔·盖茨
大野洋子
阿萨·凯德勒","最早它只是减轻痛苦的药剂，如今它是世界销量最大的饮料。一位普通的药剂师如何缔造这个创业神话？1886年，也就是124年前，美国一家小商店卖出了第一瓶可口可乐。100年过去了，到了今天全世界每一秒钟就有10450人在喝可口可乐。可口可乐创造的神话让世界崇拜，可是这瓶甜甜的黑色液体到底有着什么样的魔力能让世人如此欲罢不能，为之疯狂了一个世纪呢？"
