"","片名","上传日期","播放数","弹幕数","硬币数","收藏数","上传者投稿数","上传者粉丝数","评论数","分享数","标签","简介"
"333","铁道","2016-12-29 14:10","1531","18","6","89",212,4965,17,5,"铁道","拍摄了超过三年的中国铁路，《铁道跟踪一个国家的巨大的内部移动:肉和金属,叮当声尖叫,光明与黑暗,语言和手势。大量的铁路旅行一起成为同一个，捕获社会和技术改造带来的兴奋和焦虑。

《铁道》让观众沉浸在短暂的人和机器之间的关系和不安，他们面对的是很快就会成为世界最大的铁路网络。"
"334","吴哥窟-高棉庙宇","2016-12-29 14:10","793","12","7","135",179,97155,12,2,"BILIBILI正版","吴哥窟掩映在柬埔寨绿树成荫的丛林中，是全世界最受游客欢迎的寺庙群之一。这些今天已经成为世界遗产一部分的寺庙从高棉帝国的黄金时代起便骄傲地巍然屹立，直至今天。如果这些石头会说话……我们在寺庙的遗迹中拍摄，仔细查看着这些引人入胜的建筑杰作，它们像时间胶囊一样，永远保留着高棉帝国的精髓。这些遗迹能经得起岁月的考验吗？庙堂、雕像和墙壁等都被大自然慢慢入侵，巨大的树根缠绕上遗迹，将它们变成树木生长的摇篮。是谁将这些无与伦比的建筑留下，任其腐朽？曾经人口达数百万的王国突然消失，留下一个震惊世界的未解之谜。我"
"335","你瞧：现代世界的幻想","2016-12-29 14:10","6376","17","67","496",179,97155,16,20,"BILIBILI正版","沃纳·赫尔佐格的用他聪明的头脑迅速检验我们的互联网生活。从互联网先锋到无限辐射的受害者，奇妙而珍贵的访谈将他的故事编织成我们勇敢的新世界的画像。赫尔佐格将互联网描述为“一个最大的革命我们人类经历,”他把这种热情和在线骚扰和网络成瘾的受害者的恐怖故事融在了一起。"
"336","【CCTV9】【央视纪录片】《发现之路》  寻宝别动队 6集全","2016-12-29 14:06","729","0","1","30",61,1028,0,1,"历史
考古
崇祯
李自成
慈禧","cctv 中国漫长的历史岁月中，走过了无数的朝代，无数的风流人物，而中国又普遍有“藏宝地下”的心理，那些被埋没在历史风云中被传说着的宝藏究竟在哪里？李自成、慈禧、崇祯……他们的宝藏下落何处？展开全部"
"337","您的建筑重几何，福斯特先生","2016-12-29 14:05","750","10","15","197",179,97155,15,10,"BILIBILI正版","「每一件事情都能激发我的灵感，有时候我感觉我能看到别人看不到的东西 。」Norman Foster。英国建筑师 Norman Forster 为高技派代表人物，曾提出建造世界第一大厦的前卫观点，是当代建筑中最具远见的思想家，这部电影即纪录 Norman Forster 的生平，以及他致力用设计让生活更多采多姿的坚定追求。本片探 Norman Foster 的代表作，及其创作灵感来源，如中国北京首都国际机场、柏林国会大厦修复工程、环保概念为出发点的纽约赫斯特大楼，以及位于法国拥有世界上最高桥梁之称"
"338","美妙之旅","2016-12-29 14:05","370","1","3","71",179,97155,4,1,"BILIBILI正版","在亚洲远东地区，有着人类最丰富多彩，也是最悠久的文化遗产。在中南半岛上，虽然现代化城市日新月异，传统却经久不衰。我们与充满异国情调的小小巴厘岛不期而遇，在那儿，印度教神灵和古老的海神共存，今天仍供奉在无垠大海沿海的数百座寺庙里。我们下一个目的地是吴哥窟。在这儿我们深入柬埔寨丛林深处，神秘消失的文明遗留给我们世界上最特别的文化遗产之一：吴哥窟寺庙群。巨大的浮雕装饰、通道、巨石和墙壁都躺在自然的怀抱里，低语着昔日高棉帝国的秘密。那么他们的文化遗留下什么？对于这点，我们将来到洞里萨河上的水上浮村，一窥"
"339","恐龙十三号","2016-12-29 14:03","956","11","9","71",179,97155,15,0,"BILIBILI正版","大家都知道苏——雄伟的雷克斯霸王龙的骨架，是芝加哥自然历史博物馆的骄傲。鲜为人知的是一个七年的故事，集合阴谋，背叛，欺骗，和政府干预导致恐龙狩猎者，南达科他州的黑山学院的成员，被剥夺了他们的发现，被骗的认可，甚至被送进监狱。这个巨大的化石组合是导演米勒精心重建的故事，包括苏的发现和恢复，她1992被全副武装的联邦调查局特工绑架，喧闹的法庭所有权纠纷，和最后惊心动魄的拍卖。"
"340","南太平洋比基尼环礁与马绍尔群岛","2016-12-29 14:03","606","11","5","97",179,97155,11,1,"BILIBILI正版","南太平洋——这片分隔美洲大陆与亚洲大陆的海洋有着无边无际的水域以及原始的自然风貌。对很多人来说，南太平洋就是天堂的代名词，有阳光、海滩，当然还有比基尼。比基尼岛象征着美军在二战后进行的一系列核试验。自然与人类如何发展？这个美丽的泻湖及其自然名胜给我们留下了什么？经历了核试验后，自然是否已经得以恢复？与我们一同前往一个特别的船只墓地，探索60年来与世隔绝的一隅，领略南太平洋的神奇。"
"341","红海船难","2016-12-29 14:02","288","0","0","38",179,97155,8,1,"BILIBILI正版","在这部50分钟的3D纪录片里（同时还有高清格式可供选择），您将进入深海探险，探索旧日时光。曾经辉煌的战舰就像是一部战争的回忆录，如今永远躺在海洋深处，成为深海生物的家园。“蓝蓟花号”货轮以及船上装载的卡车和摩托车的残骸，正平静地躺在红海的珊瑚礁之下。我们潜到残骸所在的深海，发掘这艘曾经规模巨大的货轮的每一个细节。在茫茫的红海之中，美丽而奇特的海洋生物得以将自己的美展现到极致。这趟多彩的旅程展示了当自然和时间接管了人造的战争机器，并将其改造为一艘生命之船后，海洋生物的生活。在与“SS卡纳提克号”以"
"342","曼谷-缤纷传统文化","2016-12-29 14:02","726","2","5","112",179,97155,8,2,"BILIBILI正版","泰国首都曼谷是一座拥有数百万人口的城市，每年来到这里的数百万游客，使得这座城市成为全世界排名前六的旅游胜地。是什么造就了这座远东城市的与众不同和迷人魅力？是宗教吗？还是多元的文化？亦或是西方的时尚糅合了东方的古老文化……曼谷是全世界生活最丰富多彩的城市之一，还有众多人文景观，从雄伟的曼谷大皇宫到深藏在市内，人潮涌动的水上市场。当我们的镜头带领你走过沉思的僧侣和焚烧的线香旁，我们会感受到佛教的精髓。你可以先静静领略神殿的平和，然后投身进现代都市感受它永不停歇的脉搏。你还可以去体验一下中国城的氛围，"
"343","播求传奇","2016-12-29 14:01","704","36","7","56",179,97155,10,2,"BILIBILI正版","“我真的从没想过自己会成为拳王。我只是想要代表我的祖国泰国，为它争光。”——这是颂巴万柴明在谈起他的人生发生巨变的那天时所说的话，而他更为世人熟知的名字是“播求”。播求从儿时开始练习泰国的民族运动——泰拳，在取得第一场胜利后，他开始在这个行业扎根并一路过关斩将。终于在2004年7月，赢得K1世界搏击锦标赛决赛胜利的他震惊了全世界。两年后他再次夺冠。他开始泰拳生涯时从不出众，而今天，他是泰国最出名的泰拳选手。纪录片《播求传奇》将带领观众们了解这位泰国国民英雄，观众将被带入一次奇妙的旅程，看到他艰苦"
"344","谎言的真相","2016-12-29 14:00","480","18","8","142",179,97156,11,3,"BILIBILI正版","这是一个探索人们怎么撒谎和为什么撒谎的电影。这部电影进行实验，测量我们说谎的倾向——有时甚至是在不知情的情况下。在个人层面上看，从善意的谎言到毁灭性的的欺骗，人们在镜头前分享他们说过的谎。专家测试我们行为背后的意义，我们不诚实的含义。行为科学家Dan Ariely将这些元素组合在一起，引导我们发现复杂的真理所在。"
"345","飞天女赛皮迪","2016-12-29 14:00","221","2","4","36",179,97156,11,1,"BILIBILI正版","Sepideh想成为一名宇航员。她彻夜探索宇宙的奥妙，而她的家人会做任何事来让她脚踏实地。人们对于年轻的伊朗妇女的期望和Sepideh的野心非常不同，她上大学的计划处于危险之中。但Sepideh抓住她的梦想！她奋起战斗，,与世界上第一个女太空游客Anousheh Ansari结为团队。"
"346","【纪录片】印度 猎人头部落 - 消失地平线（华语）03集","2016-12-29 12:48","407","1","4","14",529,18148,4,0,"旅行
社会
文化
人文
消失地平线","一起跟随主持人的脚步，探寻即将消失的土地、 人文机制和传统习俗。
01集：av7718304，02集：av7734815"
"347","【CCTV】地理中国  岭谷奇木·寻找“地下金”","2016-12-29 12:44","149","1","0","5",394,1683,0,0,"CCTV
广西
环江毛南族自治县
地下金
毛南族","CCTV 在我国西南的广西环江毛南族自治县境内，有一片奇异的原始森林，林中隐藏着各种喀斯特洞穴、天坑，分布有众多珍稀动植物，被当地毛南族人视为宝地。然而，就在这样一块国家级自然保护区内，却出现了一种奇怪的现象：密林中的某些区域，高大的树木能够耸立挺拔，但是杂草、灌木却在周边不能成活，偶尔有青草刚刚发芽，也会很快地枯萎死亡。当地村民说，环江的深山里有一种叫做“地下金”的奇异物质，某些区域“寸草不生”，就是因为附近有“地下金”分布。（《地理中国》 20161228 岭谷奇木·寻找“地下金”）"
"348","【CCTV】地理中国  岭谷奇木·红崖下的“神树”","2016-12-29 12:40","120","2","0","3",394,1683,1,0,"CCTV
广西
地理中国
原始森林
四面山
环江毛南族自治县","CCTV 本期节目主要内容： 广西环江毛南族自治县境内，有一片奇异的原始森林，林中隐藏着各种喀斯特洞穴、天坑，分布有众多珍稀动植物，被当地毛南族人视为宝地。然而，就在这样一块国家级自然保护区内，却出现了一种奇怪的现象，密林中的某些区域，高大的树木能够耸立挺拔，但是杂草、灌木却在周边不能成活，偶尔有青草刚刚发芽露头，也会很快枯萎死亡。专家带您揭开其中的奥秘。 （《地理中国》 20161227 岭谷奇木<U+2022>红崖下的“神树”）"
"349","《国家记忆》 20161228 《秘筑中巴公路》系列 第一集","2016-12-29 12:34","826","15","1","17",13,322,2,2,"央视纪录片
中巴友谊万岁
国家记忆
中巴公路","https://youtu.be/Ii5DKBdeqyA https://youtu.be/Ii5DKBdeqyA 央视纪录片"
"350","麦哲伦奉献：潜艇","2016-12-29 12:15","787","5","0","19",28,210,0,2,"国家地理
NGC
麦哲伦
bbc","潜艇游弋在大洋里，能无预警地发动攻击。得克萨斯号独树一帜，巡航深度接近海面下1000英尺，装备了鱼雷、导弹和特种部队。在任何需要它的地方，都能祭出致命一击。让我们透过钢铁外衣，探索超级潜艇的秘密。"
"351","麦哲伦奉献：雙子星塔","2016-12-29 12:11","295","1","0","10",28,210,1,0,"NGC","马来西亚的双子星塔是全球最高的双塔建筑，这两座450米高的摩天大楼把建筑技术发挥到了极致。从设计到施工，建造过程中发生的每一次曲折都触目惊心几乎酿成大难。如今双子星塔昂然耸立，象征马来西亚的骄傲和现代化。请随我们一同去揭开它背后的精彩秘密。"
"352","麦哲伦奉献：伊泰普水壩","2016-12-29 12:01","357","1","0","14",28,210,0,1,"NGC
麦哲伦","巴西拥有世界上近10%的淡水，全长4万公里的河流可以整整环绕地球一圈。巴西政府计划建一座巨大的水坝，以解决大部分能源需求。于是，4万名工人向大自然发起挑战，与灾难隐患展开较量。"
"353","【CCTV】大家  野生动物保护专家 常秀云","2016-12-29 11:40","53","0","1","2",394,1683,0,0,"CCTV
大家
濒危动物
常秀云
朱鹮","CCTV 本期节目主要内容：本片采用纪实拍摄与历史回顾相穿插的故事结构，讲述一种极其濒危的物种朱鹮如何在常秀云的探索和努力下一步步走出绝境的历程，让人感叹野生动物的脆弱、科学家的艰辛。朱鹮，被誉为鸟类的“东方宝石”，它们随时面临着从地球上消失的危险。从1983年至今的三十三年里，有一位科学家始终坚持着朱鹮的保护与研究，她叫常秀云。 （《大家》 20161229 野生动物保护专家 常秀云）"
"354","【探索频道(HD)】河中巨怪：莫名的迷信 (2016)【中文字幕】","2016-12-29 11:07","869","7","3","19",227,5020,4,0,"探索频道
河中巨怪
国际版 英语中字","TV录制片 马妮提供 River Monsters Special (S7 Repacks).Deadly Superstitions 河中巨怪：莫名的迷信
河中巨怪 杰瑞米韦德回顾一些在他的捕鱼生涯中最难忘的时刻，是否看不见的力量能解释他最伟大的捕获？

**续第8季海洋篇6集后播出的特集，DSC节目表没注明第几集**"
"355","【NHK】与老板吃午餐 - 吃午餐啦 Lunch ON!（英语生肉）S2 08（低清）","2016-12-29 11:02","654","1","2","19",529,18148,1,0,"社会
文化
人文
生活
美食
Lunch ON!","吃午饭啦～ 看看大家的午餐吃什么，我们会发现什么呢？
01集：av7652242，02集：av7667762，03集：av7686762，04集：av7704562，06集：av7718365
07集：av7732017"
"356","【探索频道(HDW)】顶级订做（4）： 吉他 Bespoke：Guitars【中文字幕】","2016-12-29 10:50","577","6","1","34",227,5020,3,2,"吉他
国际版 英语中字
顶级订做","TV录制片 马妮提供    [Discovery HD World 頻道] Bespoke：Guitars 顶级订做（4）： 吉他 
《顶级订做》探索大量生产产品所需的工业专长，以及工匠如何运用熟稔的技巧，创造出客制产品。《顶级订做》由贾斯汀布拉顿主持，访问专家、深入了解这些产品背后的工程技术，向多年沿袭下来的工艺致敬。

***系列连播中，更新不定时***"
"357","【人与自然】勇闯鳄鱼潭","2016-12-29 10:20","213","0","0","2",84,170,0,0,"CCTV
动物","cctv 本期节目主要内容： 制服鳄鱼、和大白鲨一起潜水、忍受电鳗的攻击、把脸送到大蛇的嘴边等等，动物专家将向人类展示了一切高度危险的动作。本期节目他将要伪装成鳄鱼，爬向鳄鱼的巢穴。动物专家与设计师设计了鳄鱼装，这样接近鳄鱼时就能保护自己。最终，动物专家穿上鳄鱼服混入鳄鱼群，成功将监测仪器装在鳄鱼的身上。"
"358","【国家地理】-投降之路全集","2016-12-29 09:12","470","2","2","30",4,16,0,5,"二战纪录片
纳粹","纪录片天地  投降之路:纳粹最后抵抗Surrender:Ep1:TheNazisLastStand本节目探究欧洲二次大战的最后一段时期，追踪军事领袖和他们参与的战役，另外也让遭人遗忘的步兵、平民和妇孺有机会发声。投降之路:纳粹德国垮台Surrender:Ep2:TheFallofNaziGermany在联军发现死亡集中营的恐怖恶行同时，俄军在柏林外围展开激战。在这场战役，俄军每天都有一万五千名士兵阵亡。纳粹将领！"
"359","【RTHK香港电台】大学问：陈奕迅<U+30FB>Shall We Talk【粤语中字】#2","2016-12-29 08:28","1307","8","12","59",159,675,4,9,"陈奕迅
RTHK","https://www.youtube.com/watch?v=1Fwz9-Q3Mt4 一支結他、兩架單車和三塊大石，構成觀眾和陳奕迅一同郊遊的一次經歷。

陳奕迅從二十年前的頑皮小子蛻變成樂壇歌神，現更身為人父，曲風從跳脫變得成熟。一直以來，觀眾只能在螢幕前看他嬉笑怒罵，焦點總放在他登台那一刻的震撼，並未能真正真正了解他的所思所想，也鮮有機會與他直接溝通。

今集《大學問》會透過一次郊遊，讓陳奕迅拋開舞台上的一切拘束，分享他在個人和藝術方面的心路歷程、對家庭和樂壇的種種想法，以及如何「毫無代價"
"360","纪录片.Ch4.名城48小时.圣诞特集：佛罗伦萨.2016[高清][生肉]","2016-12-29 08:02","417","6","2","64",785,13877,10,2,"Ch4","Ch4 【纪录片.Ch4.名城48小时.圣诞特集：佛罗伦萨.Travel.Man.48.Hours.In.Florence.2016】"
"361","纪录片.Ch4.乐高圣诞.A.Big.Lego.Christmas.2016[高清][生肉]","2016-12-29 07:20","420","4","4","48",785,13877,0,6,"Ch4","【纪录片.Ch4.乐高圣诞.A.Big.Lego.Christmas.2016】
年产720亿块积木，创始于丹麦的乐高已经乐遍全球。本片讲述世界最大的乐高商店在伦敦开幕的幕后，近6百万块乐高搭建的伦敦塔桥，以及形形色色的乐高爱好者。
下载版见微博：@猛犸君侯。高清下载：http://weibo.com/5643224579/EoPPryvFn"
"362","纪录片.航拍法国.Aerial.France.EP01.2009[高清][生肉]","2016-12-29 06:23","353","0","1","45",785,13877,1,2,"Gedeon Programmes","Gedeon Programmes 【纪录片.航拍法国.Aerial.France.EP01.2009】"
"363","纪录片.国家地理.冬日奇境.Winter.Wonderland.2016[高清][生肉]","2016-12-29 01:38","708","11","4","59",785,13877,2,2,"国家地理","国家地理 【纪录片.国家地理.冬日奇境.Winter.Wonderland.2016】"
"364","CCTV科教频道纪录片《赤子功勋_华侨抗战纪实》","2016-12-29 01:16","85","0","1","10",50,60,2,0,"CCTV纪录片
纪录片
华侨
CCTV10
陈嘉庚
科教频道","CCTV纪录 纪录抗战时代  全世界 华侨积极支援国内抗战全纪录"
"365","《重温纪录片》《在时光的灰烬中，我们从不曾忘却》 （2006年中国配音网）","2016-12-29 01:14","312","2","3","41",239,1014,1,1,"纪实
文化
中国
纪录片
科普
邱岳峰","直传 
纪念邱岳峰大师逝世二十六周年视频专集
邱岳峰是中国最杰出的配音表演艺术家之一；1950年后任上海电影制片厂翻译片组、上海电影译制厂配音演员；在30年的译制片创作生涯中，先后为200余部外国影片的主要角色配音，创造性地再现了一系列经典的银幕形象，给广大观众留下了极其深刻的印象；此外，他还在数十部国产美术片和故事片中担任配音，并参演数部电影。"
"366","CCTV军事频道 纪录片《选择》","2016-12-29 00:13","113","0","0","12",50,60,0,0,"CCTV纪录片
人民
毛主席
民主
1949
解放
复兴
新中国
共产党","CCTV军事频道 新中国成立后，国家的面貌焕然一新，一扫百年屈辱，六十多年来取得无数骄人成绩，近年来更是以从未有过的盛装迎接世界。如果没有中国共产党，中国将无法走出近百年的屈辱，中国人民将继续生活在水深火热之中。节目中探寻了历史和人民之所以选择中国共产党的原因。鸦片战争之后，帝国主义和中华民族的矛盾，封建主义和人民大众的矛盾日益加剧，为了完成推翻帝国主义和封建主义的首要任务，无数仁人志士进行了艰难的探索，革命烈士们抛头颅洒热血，终于在中国共产党的领导下完成伟大革命，建立新中国。"
"367","重庆卫视    纪录片《离开延安370天》","2016-12-28 23:11","175","1","0","17",50,60,2,2,"CCTV
内战
CCTV纪录片
延安
毛主席
重庆卫视","《离开延安370天》  雨夜，山间小道，洪水，山梁，迷路，追兵就在眼前。当七百多人遭遇八个旅的追兵，情形该是何等的紧张！这一幕，就曾经发生在1947年6月9日的夜里。地点就在靖边县的小河村。毛泽东率领的中央前委和数万追兵就在那夜，就在那里几乎相遇！"
"368","【纪实天下】【花样滑冰】火苗的冰上之梦 161226","2016-12-28 22:51","136","2","6","5",21,58,1,3,"花样滑冰
梦想
纪录片
女子单人滑
陈虹伊","优酷 这是北京台为青年组女单陈虹伊拍摄的纪录片。UP主对青年组的了解不是很多，如今女单靠君君苦撑，不过香香也已经开始成长了。UP猛然想起去年去看中国杯的时候好像在看台上遇到了香香，和几个小选手还有几个应该是冰舞的选手就坐我前面一排，但那个时候我只认识成年组的选手。←_←这个纪录片应该也能让大众看到运动员、看到花样滑冰的更多面。"
"369","【CCTV纪录片】北海 1979年","2016-12-28 22:36","202","0","0","5",40,1668,0,3,"转载
纪录片
北海
中央电视台
cctv纪录片","感谢大家的收看<U+2764>喜欢的话不妨关注我的频道或投个硬币
有趣分享交流Q群：185371780
视频源：https://www.youtube.com/watch?v=eiM2hee6O-c
中央新闻纪录电影制片厂1979年摄制。编导：顾建明。"
"370","缅甸文化代表团访华演出-黑白-高清-1960","2016-12-28 22:32","165","1","2","14",162,1115,3,2,"缅甸
中缅
文化交流","1905电影网 还有几个，明天开始传老电影"
"371","【体育】科教片《足球》1966-黑白-科影","2016-12-28 22:21","216","0","1","14",162,1115,0,1,"国足","网盘 虽然说是科教片，，但总感觉像足球比赛。。。"
"372","社会主义改造胜利大联欢-1956-黑白-高清","2016-12-28 22:14","1147","10","3","71",162,1115,9,5,"社会主义三大改造","CNTV 1956年，社会主义三大改造完成，标志着社会主义制度在我国正式确立，也就是说在经济制度，分配制度等领域，社会主义性质已经彻底确立了，到现在也是如此"
"373","《重温纪录片》《潜海姑娘》1978年(中央新闻纪录电影制片厂出品)","2016-12-28 22:13","623","11","2","36",239,1014,1,4,"纪实
文化
历史
中国
纪录片
科普","直传 
这部纪录片《潜海姑娘》是在1978年拍摄的，在全国公映以后，引起了巨大的反响，好评如潮。影片中唯美的水下摄影，欢快动人的旋律和潜水姑娘们感人的故事，深深地感染了一代人，成为新时期纪实电影创作的开端。"
"374","掏粪工人时传祥-1965-中新","2016-12-28 22:07","383","9","3","15",162,1115,7,3,"劳动者
掏粪工人
时传祥","水印辣么多，然后我是从网盘看到的233 那时劳动者的地位"
"375","「记录片」「舌尖上的中国」 第一季（七集全集加花絮）","2016-12-28 22:04","7590","210","30","416",51,15103,19,3,"舌尖上的中国","「记录片」「舌尖上的中国」 第一季（七集全集加花絮） 上次大家说的字幕问题，我看了看，确实有，我干脆把上次的删了，另传一个。这次的虽然没字幕，但大家应该都听得懂吧~除过一些方言，宝宝们！我真的没不务正业（认真脸）明年高考，这几个月自己会一直忙，有时间就做混剪啦！基本上就算是不定时更新~扶朕起来，朕还能学！........恩~朕还是自己滚去做题咯~"
"376","【NHK纪录片】伟大自然_红色的海梦幻的森林_日字假名","2016-12-28 21:54","475","3","6","25",80,2504,6,1,"NHK纪录片
NHK
NHK节目
伟大自然","★ 【NHK纪录片】伟大自然_红色的海梦幻的森林_塔斯马尼亚原始地域_日字假名

直播在公众号提前通知，公众号「秋秋字幕组」（搜suminglc）。"
"377","【TVB】欢迎来我家（2016）【更新中】","2016-12-28 21:49","688","11","2","34",170,4796,3,2,"建筑
环境
TVB","TVB 本紀錄片集旨在回答以下問題：人類如何聲稱擁有某空間，方便自己安居，並以社會模式運作？最重要是如何與周遭環境和諧並存？Philppe Simay帶大家經歷艱苦冒險，探索人類棲息地。他是人類學家兼哲學家…"
"378","猫科动物的故事 The Story of Cats","2016-12-28 21:01","1202","44","4","91",15,28,2,8,"猫
纪录片
猫科动物的故事","The Story of Cats 猫科动物总是带来惊奇，家猫和老虎有9%相同基因，喵星人为何放弃野外进入人家，又如何成为互联网上的萌明星，野外罕见的猫科动物有什么，它们如何出人意料，本片一一为观众讲述。"
"379","亚非拉乒乓球友好邀请赛 -新影1974-标清","2016-12-28 21:01","119","5","0","7",162,1115,2,2,"怀旧
胖胖球
亚非拉","网盘 画质神马的，请不要在意。。。"
"380","六亿人民的意志-1954-标清-中新","2016-12-28 20:56","729","4","5","38",162,1115,10,5,"第一部社会主义宪法
第一届全国人大","优酷 1954年9月15日，第一届全国人民代表大会第一次会议在北京开幕，1226位代表出席了大会，会议通过了中华人民共和国宪法和多个重要法律文件，并选举了国家领导机关工作人员。
PS哈哈，看我找到了神马"
"381","【TVB】玩命全接触（2016）【全2集】","2016-12-28 19:59","561","1","0","20",170,4796,1,1,"TVB
明珠台","TVB 多明歷在伯利茲尋找拉丁美洲最毒的矛頭蛇。這種蛇喜歡埋伏突擊。是名不虛傳還是以訛傳訛？多明歷深入密林尋找真相。期間，他又探索馬雅金字塔、神秘洞穴，以及野生動物蓬勃的青蔥雨林。"
"382","【TVB】芬兰 圣诞限定:3日2夜（2016）【全一集】","2016-12-28 19:48","339","1","0","33",170,4796,0,2,"圣诞
芬兰
TVB","TVB 黃煦齡和梁彥宗抵達芬蘭首都赫爾辛基。他們首先前往室內牆身全是天然岩石的岩石教堂；其後乘船參觀世界文化遺產─芬蘭堡。他們走進一個室內的冰天雪地，飲用以冰杯盛載的凍飲，坐上由雪橇犬拉動的雪橇車，挑戰考驗合拍度的雙人滑雪；不料二人坐雪兜滑滑梯後發生碰撞，最後更觸發一場潑雪大戰！芬蘭的夏天每天只有數小時沒有太陽，這對貪玩男女把握時間前往圖爾庫，租借中世紀戲服，參加每年六月底舉行、為期四天的中世紀市場節，感受歐洲五至十五世紀，古典時期至文藝復興時期的文化和生活。"
"383","【NHK纪录片】北漂一族【中文字幕】","2016-12-28 19:45","13000","236","15","292",72,1366,23,25,"纪实
社会
高清
NHK
北漂
陈潇","http://www.6vhao.com/ 面貌日新月异的中国首都-北京。

大批外地青年，满怀梦想上京寻找成功机会。为了赚钱、出名、出人头地，他们在简陋的住所，忍受贫寒的生活，试图在大都市，打拼出属于自己的一片天地，当模特儿、当明星、做老板……

有人在残酷的现实面前放弃了，而有的人依然锲而不舍，听任青春在漂流中蹉跎。"
"384","【TVB】野性伊比利亚（2016）【全一集】","2016-12-28 19:43","359","1","0","28",170,4796,0,3,"TVB
明珠台
伊比利亚","TVB 春天 – 在伊比利亞半島,太陽露臉,大自然也甦醒, 所有生物準備好戀愛和交配……初生動物到處都是,建造巢穴或陷阱的動物也在努力……雖然表面看來美好,但這是艱難的時候: 競爭激烈,對過度繁殖的動物來說,這是殘酷的季節"
"385","【TVB】蔚蓝居（2016）【全一集】","2016-12-28 19:30","205","0","0","30",170,4796,0,2,"建筑师
TVB
工匠
海滩屋","TVB 澳洲最佳海灘屋，連同有關的生活方式，都啟發人心。崎嶇海岸的震撼美態；澳洲海灘港口的壯麗奇觀，啟發出澳洲一流家居。本節目帶觀眾走入世界最劃時代的海邊創意新居。當今首屈一指的建築師、工匠和業主…"
"386","【纪录片】【英语中字】夢想創未來 Dream the Future (I) 第6集 - 医学","2016-12-28 18:34","444","5","1","50",400,21070,3,2,"PEARL
科技
纪录片
医学
英国APC
Dream the Future
夢想創未來","在2050年，便有20億人在60歲以上，受到癌症、肥胖症、心血管疾病等困擾，醫學界如何應付這些重大挑戰？原來現時有關業界已推展了不少別開生面的計劃，探索修復器官、再生醫學和個人化治療等等課題。"
"387","甜米奇竞选总统","2016-12-28 18:10","55","6","1","4",130,3612,1,1,"甜米奇竞选总统","甜米奇竞选总统"
"388","【老师，您哪位？】黄裕翔的音乐课（国语） 07集","2016-12-28 17:53","166","1","0","6",529,18149,0,0,"社会
文化
人文
生活
老师，您哪位？","视障钢琴家，打开耳朵打开心。同学们可以在这节音乐课上学到什么呢？

01 探险课：av7614653，02 公民课：av7629446，03 美术课：av7641687，04 美劳课：av7658944
05 自然课：av7673742，06 表演课：av7722100

听说来了特别的老师，他们要教学校没教的事。这是一堂不可思议的课
为孩子们带来不一样的养分，勇于面对沒有标准答案的人生。"
"389","欢迎来到魔术世界9","2016-12-28 17:43","368","7","1","21",15,106,1,0,"魔术揭秘","来自网络 喜爱魔术的人欢迎来入，禁止撕逼，剧透。"
"390","欢迎来到魔术世界10","2016-12-28 17:43","180","1","0","12",15,106,2,0,"魔术揭秘","来自网络 喜爱魔术的人欢迎来入，禁止撕逼，剧透。"
"391","欢迎来到魔术世界8","2016-12-28 17:42","265","0","1","11",15,106,0,0,"魔术揭秘","来自网络 喜爱魔术的人欢迎来入，禁止撕逼，剧透。"
"392","【纪录片】舌尖上的越南（越南语/粤语）Taste of Vietnam 19集","2016-12-28 16:55","1812","9","4","59",529,18149,3,1,"旅行
社会
文化
人文
美食
舌尖上的越南","1-10合集：av7581253，11集：av7595795，12集：av7624558，13集：av7638848，14集：av7656441
15集：av7672411，16集：av7693138，17集；av7707659，18集：av7722287
带你了解越南的美食，风景，文化，跟着镜头出发吧～
共23集"
"393","【纪录片】长期更新/二战全记录系列-第四章：丘吉尔的保镖-4【二战】","2016-12-28 16:52","310","0","2","12",58,636,2,1,"欧洲
战争
二战
BBC纪录片
人类","bbc .
..
.
.
."
"394","【纪录片】《苹果树下》4集完整原版 四个季节讲述果农一家","2016-12-28 16:42","1067","29","4","50",2,8,3,4,"生活记录
获奖作品
苹果树
种树
苹果树下","http://www.dltv.cn/jingdian/pgsx/content_dp_3289.shtml 央视版的剪成2集，这是未剪版的，有4集。简介：户主胡万增是著名的苹果之乡东马屯的一个普通果农，拥有300多棵果树，在农村人里，老胡算得上相貌堂堂了，往那儿一站，还挺有雕塑感，刚毅的辽南爷们！妻子也泼辣能干颜值不低，这俩人支起门来过日子，还不是烈火烹..."
"395","【经典传奇】军统第一杀手之死","2016-12-28 16:41","702","2","4","11",166,557,4,0,"杀手
走近科学
历史
经典传奇","优酷  161228_高清  UP在努力找2014的上传 优酷竟然没资源 尽力把经典传奇全系列补齐"
"396","欢迎来到魔术世界7","2016-12-28 16:21","137","0","0","8",15,106,0,1,"魔术揭秘","来自网络 喜爱魔术的人欢迎来入，禁止撕逼，剧透。。"
"397","这一年，你为偶像热血过吗？ | 网易新闻年度态度","2016-12-28 15:13","546","61","36","45",1,14,20,13,"孤独
初音未来
LoveLive!
网易新闻
热血
日式应援
年度态度","支持自己的偶像，注定是漫长、艰辛和不被理解的。这些孤独的少年们，选择了将自己的梦想注入到偶像的成长上，而在应援偶像共同使命的感召下，他们也收获了真正的精神共鸣。即使偶像不被人理解，热血又有什么错呢？网易新闻年度态度（三）：公主殿下，请带上我"
